StudentKey,StudentID,StudentName,ProgramMajor,StartYear,StudentType,ResidencyStatus,ScholarshipPercent,State,Status
70,S00070,Amelia Garcia,Radiologic Sciences,2025,Graduate,In-State,30,TX,Active
71,S00071,Ella Green,Radiologic Sciences,2026,Graduate,In-State,50,FL,Active
72,S00072,Grace Mitchell,Public Health,2023,Undergraduate,In-State,50,FL,Active
73,S00073,Penelope Patel,Healthcare Administration,2024,Graduate,Out-of-State,30,TX,Active
74,S00074,Abigail Allen,Biomedical Sciences,2026,Undergraduate,Out-of-State,20,TN,Active
75,S00075,Grace Brown,Healthcare Administration,2024,Undergraduate,Out-of-State,30,TX,Active
76,S00076,Lillian Patel,Health Informatics,2023,Undergraduate,In-State,20,GA,Active
77,S00077,Mateo Carter,Biomedical Sciences,2026,Undergraduate,In-State,10,VA,Leave of Absence
78,S00078,Julian Young,Healthcare Administration,2023,Undergraduate,In-State,40,NC,Active
79,S00079,Nora Scott,Nursing,2023,Certificate,In-State,0,TX,Active
80,S00080,Ava Nelson,Health Informatics,2023,Undergraduate,In-State,30,GA,Active
81,S00081,Julian Thompson,Radiologic Sciences,2025,Undergraduate,Out-of-State,30,SC,Active
82,S00082,Lillian Wilson,Health Informatics,2024,Certificate,Out-of-State,0,GA,Active
83,S00083,Chloe Robinson,Healthcare Administration,2025,Undergraduate,In-State,15,AL,Active
84,S00084,Nora Adams,Health Informatics,2025,Undergraduate,Out-of-State,40,TN,Active
85,S00085,Grace Anderson,Biomedical Sciences,2024,Certificate,Out-of-State,10,TN,Active
86,S00086,Grace Wright,Biomedical Sciences,2026,Undergraduate,In-State,30,FL,Active
87,S00087,Mateo Campbell,Public Health,2023,Graduate,In-State,40,AL,Active
88,S00088,Charlotte Hall,Healthcare Administration,2024,Undergraduate,Out-of-State,15,VA,Leave of Absence
89,S00089,Michael Smith,Healthcare Administration,2025,Graduate,Out-of-State,20,AL,Active
90,S00090,Noah Roberts,Nursing,2024,Undergraduate,In-State,0,TN,Active
91,S00091,Mia Young,Pre-Med,2025,Undergraduate,In-State,20,FL,Active
92,S00092,Jack Lewis,Health Informatics,2024,Undergraduate,Out-of-State,25,NC,Active
93,S00093,Benjamin Smith,Radiologic Sciences,2026,Certificate,In-State,30,NC,Active
94,S00094,Layla Harris,Health Informatics,2025,Undergraduate,Out-of-State,15,NC,Active
95,S00095,Nora Clark,Radiologic Sciences,2025,Undergraduate,In-State,30,TX,Active
96,S00096,Daniel Wright,Nursing,2024,Undergraduate,International,20,TX,Active
97,S00097,Liam Walker,Public Health,2023,Certificate,In-State,50,AL,Active
98,S00098,Mason Mitchell,Healthcare Administration,2025,Undergraduate,In-State,50,TX,Active
99,S00099,Mia Patel,Public Health,2026,Undergraduate,International,20,NC,Active
100,S00100,Aria Martinez,Biomedical Sciences,2026,Undergraduate,In-State,0,VA,Active
101,S00101,Mateo Martin,Healthcare Administration,2024,Undergraduate,Out-of-State,15,VA,Active
102,S00102,Layla Johnson,Pre-Med,2024,Undergraduate,Out-of-State,20,GA,Active
103,S00103,Ava Harris,Radiologic Sciences,2023,Graduate,In-State,15,TN,Active
104,S00104,Mia Jackson,Health Informatics,2023,Certificate,Out-of-State,20,SC,Active
105,S00105,Layla Garcia,Biomedical Sciences,2026,Undergraduate,In-State,0,FL,Active
106,S00106,Julian Davis,Nursing,2024,Graduate,In-State,25,AL,Active
107,S00107,Hannah Hall,Radiologic Sciences,2024,Undergraduate,In-State,30,TN,Active
108,S00108,Noah Lewis,Pre-Med,2026,Graduate,In-State,20,GA,Active
109,S00109,Hannah Clark,Nursing,2026,Undergraduate,In-State,0,AL,Active
110,S00110,Lucas Mitchell,Nursing,2023,Undergraduate,In-State,0,SC,Active
111,S00111,Lillian Thomas,Radiologic Sciences,2024,Undergraduate,In-State,0,FL,Active
112,S00112,Charlotte Miller,Radiologic Sciences,2025,Undergraduate,In-State,0,NC,Active
113,S00113,Jack White,Radiologic Sciences,2025,Undergraduate,In-State,15,FL,Active
114,S00114,Chloe Baker,Nursing,2023,Graduate,Out-of-State,20,GA,Active
115,S00115,Mateo Jackson,Radiologic Sciences,2023,Graduate,In-State,30,FL,Active
116,S00116,Leo Walker,Health Informatics,2023,Graduate,Out-of-State,0,GA,Active
117,S00117,Sebastian Wilson,Nursing,2024,Undergraduate,International,50,VA,Active
118,S00118,Sebastian Baker,Public Health,2026,Graduate,International,25,GA,Active
119,S00119,Lillian Thomas,Health Informatics,2026,Undergraduate,Out-of-State,20,AL,Active
120,S00120,Chloe Brown,Public Health,2026,Undergraduate,In-State,20,NC,Active
121,S00121,Olivia Smith,Healthcare Administration,2023,Undergraduate,Out-of-State,0,VA,Active
122,S00122,Lillian Rodriguez,Radiologic Sciences,2025,Undergraduate,Out-of-State,20,TN,Active
123,S00123,Aria Mitchell,Public Health,2025,Undergraduate,International,40,SC,Active
124,S00124,Leo Jackson,Healthcare Administration,2023,Undergraduate,Out-of-State,20,GA,Active
125,S00125,Penelope Jackson,Healthcare Administration,2026,Graduate,International,50,FL,Leave of Absence
126,S00126,Ella Nguyen,Pre-Med,2025,Undergraduate,In-State,20,FL,Active
127,S00127,Charlotte Hill,Biomedical Sciences,2026,Undergraduate,In-State,0,GA,Active
128,S00128,Lucas Lee,Health Informatics,2026,Undergraduate,In-State,20,TX,Active
129,S00129,Penelope Mitchell,Nursing,2023,Undergraduate,In-State,50,FL,Active
130,S00130,Ella Young,Biomedical Sciences,2026,Graduate,International,30,TN,Active
131,S00131,Lucas Green,Nursing,2025,Undergraduate,In-State,15,AL,Active
132,S00132,Scarlett Patel,Pre-Med,2026,Certificate,In-State,0,SC,Active
133,S00133,Lucas Miller,Healthcare Administration,2025,Undergraduate,In-State,0,FL,Active
134,S00134,Zoey Taylor,Pre-Med,2026,Graduate,In-State,40,VA,Active
135,S00135,Michael Patel,Health Informatics,2023,Graduate,In-State,20,TN,Leave of Absence
136,S00136,Michael Hall,Public Health,2023,Undergraduate,In-State,20,NC,Leave of Absence
137,S00137,Layla Lewis,Nursing,2026,Undergraduate,In-State,25,TN,Active
138,S00138,Sophia Walker,Healthcare Administration,2025,Undergraduate,In-State,20,NC,Active
139,S00139,Mateo Davis,Radiologic Sciences,2024,Undergraduate,In-State,0,SC,Active
140,S00140,Charlotte Harris,Pre-Med,2024,Certificate,In-State,0,NC,Active
141,S00141,Layla Hill,Healthcare Administration,2026,Certificate,International,20,VA,Active
142,S00142,Nora Johnson,Health Informatics,2026,Undergraduate,In-State,50,FL,Active
143,S00143,Mateo Johnson,Public Health,2026,Graduate,In-State,0,VA,Active
144,S00144,Olivia Smith,Radiologic Sciences,2026,Graduate,International,40,FL,Active
145,S00145,Penelope Anderson,Public Health,2026,Graduate,In-State,0,AL,Active
146,S00146,Henry Smith,Radiologic Sciences,2024,Undergraduate,In-State,30,AL,Active
147,S00147,Wyatt Roberts,Pre-Med,2025,Undergraduate,In-State,25,TN,Active
148,S00148,Sebastian Rodriguez,Healthcare Administration,2025,Undergraduate,In-State,0,TN,Active
149,S00149,Harper Mitchell,Healthcare Administration,2024,Undergraduate,In-State,50,NC,Active
150,S00150,Scarlett Walker,Pre-Med,2023,Undergraduate,Out-of-State,25,VA,Active
151,S00151,Wyatt Smith,Biomedical Sciences,2026,Graduate,In-State,0,VA,Active
152,S00152,Benjamin Thomas,Public Health,2026,Undergraduate,In-State,0,NC,Active
153,S00153,Aria Brown,Radiologic Sciences,2023,Undergraduate,International,0,TN,Active
154,S00154,Amelia Taylor,Healthcare Administration,2024,Graduate,In-State,25,VA,Active
155,S00155,Nora Roberts,Public Health,2026,Undergraduate,Out-of-State,10,TX,Active
156,S00156,Elijah Lewis,Biomedical Sciences,2026,Graduate,In-State,25,TN,Active
157,S00157,Elijah Mitchell,Pre-Med,2025,Undergraduate,Out-of-State,20,GA,Active
158,S00158,James Thompson,Nursing,2024,Undergraduate,Out-of-State,40,NC,Active
159,S00159,Sophia Jackson,Healthcare Administration,2026,Undergraduate,In-State,25,FL,Active
160,S00160,Mateo Lewis,Pre-Med,2026,Undergraduate,In-State,10,FL,Active
161,S00161,Mia Robinson,Healthcare Administration,2024,Undergraduate,In-State,15,AL,Active
162,S00162,Leo Young,Radiologic Sciences,2023,Undergraduate,In-State,15,SC,Active
163,S00163,Lillian Mitchell,Radiologic Sciences,2026,Undergraduate,In-State,10,TX,Active
164,S00164,Emma White,Health Informatics,2026,Undergraduate,In-State,30,FL,Active
165,S00165,Penelope White,Biomedical Sciences,2024,Undergraduate,Out-of-State,0,VA,Active
166,S00166,Penelope Hall,Pre-Med,2023,Graduate,In-State,0,FL,Active
167,S00167,Leo Patel,Biomedical Sciences,2026,Undergraduate,In-State,0,VA,Active
168,S00168,Jack White,Biomedical Sciences,2023,Certificate,In-State,0,FL,Active
169,S00169,Hannah Robinson,Healthcare Administration,2024,Graduate,Out-of-State,0,NC,Active
170,S00170,Layla Patel,Public Health,2024,Undergraduate,In-State,0,VA,Active
171,S00171,Mateo Walker,Healthcare Administration,2026,Undergraduate,In-State,10,TX,Active
172,S00172,Emma Robinson,Public Health,2023,Undergraduate,Out-of-State,25,AL,Active
173,S00173,Henry Taylor,Health Informatics,2026,Undergraduate,Out-of-State,15,GA,Active
174,S00174,Sophia Allen,Radiologic Sciences,2024,Graduate,In-State,20,GA,Active
175,S00175,Grace Thompson,Public Health,2026,Certificate,Out-of-State,0,AL,Active
176,S00176,Nora Patel,Biomedical Sciences,2025,Certificate,Out-of-State,15,FL,Active
177,S00177,Michael Lewis,Radiologic Sciences,2024,Undergraduate,In-State,50,AL,Active
178,S00178,Isabella Johnson,Pre-Med,2025,Undergraduate,Out-of-State,50,FL,Leave of Absence
179,S00179,Charlotte Young,Public Health,2025,Graduate,In-State,50,NC,Active
180,S00180,Levi Walker,Public Health,2025,Undergraduate,In-State,0,NC,Active
181,S00181,Wyatt Lee,Radiologic Sciences,2023,Undergraduate,In-State,30,SC,Leave of Absence
182,S00182,Aria Scott,Pre-Med,2023,Undergraduate,In-State,30,NC,Active
183,S00183,Sophia Martinez,Biomedical Sciences,2025,Undergraduate,Out-of-State,40,TX,Active
184,S00184,Amelia Taylor,Healthcare Administration,2025,Graduate,In-State,0,SC,Active
185,S00185,Evelyn Scott,Nursing,2025,Graduate,International,20,AL,Active
186,S00186,Isabella Roberts,Nursing,2023,Undergraduate,Out-of-State,30,TN,Active
187,S00187,Penelope Johnson,Pre-Med,2025,Undergraduate,Out-of-State,30,VA,Active
188,S00188,Lillian Campbell,Pre-Med,2024,Undergraduate,Out-of-State,0,GA,Active
189,S00189,Charlotte Garcia,Pre-Med,2024,Undergraduate,In-State,20,TX,Active
190,S00190,Harper Anderson,Biomedical Sciences,2025,Undergraduate,In-State,50,GA,Active
191,S00191,Amelia Campbell,Radiologic Sciences,2024,Undergraduate,International,50,VA,Leave of Absence
192,S00192,Noah Nguyen,Nursing,2023,Certificate,In-State,10,TN,Leave of Absence
193,S00193,Liam Scott,Biomedical Sciences,2025,Undergraduate,Out-of-State,10,TN,Active
194,S00194,Layla Johnson,Biomedical Sciences,2023,Undergraduate,Out-of-State,25,AL,Active
195,S00195,Lucas Robinson,Radiologic Sciences,2024,Undergraduate,In-State,20,TN,Active
196,S00196,Levi Green,Radiologic Sciences,2023,Undergraduate,In-State,30,GA,Active
197,S00197,Nora White,Pre-Med,2023,Undergraduate,In-State,25,TN,Active
198,S00198,Amelia Martinez,Radiologic Sciences,2025,Undergraduate,In-State,30,AL,Active
199,S00199,Scarlett Scott,Nursing,2023,Undergraduate,Out-of-State,30,SC,Active
200,S00200,Abigail Clark,Nursing,2023,Undergraduate,Out-of-State,50,AL,Active
201,S00201,Hannah Carter,Healthcare Administration,2023,Undergraduate,In-State,15,VA,Active
202,S00202,Levi Patel,Health Informatics,2023,Certificate,Out-of-State,10,VA,Active
203,S00203,Aria Johnson,Health Informatics,2026,Graduate,In-State,50,GA,Active
204,S00204,Mia Walker,Public Health,2025,Graduate,In-State,0,SC,Leave of Absence
205,S00205,Mateo Walker,Radiologic Sciences,2023,Undergraduate,In-State,0,VA,Active
206,S00206,Wyatt King,Pre-Med,2024,Undergraduate,International,20,NC,Active
207,S00207,Avery Garcia,Radiologic Sciences,2025,Graduate,Out-of-State,40,AL,Leave of Absence
208,S00208,Scarlett Wright,Healthcare Administration,2023,Undergraduate,In-State,0,TN,Leave of Absence
209,S00209,Scarlett Nguyen,Radiologic Sciences,2026,Undergraduate,International,50,SC,Active
210,S00210,Abigail Wright,Pre-Med,2026,Undergraduate,In-State,0,GA,Active
211,S00211,Liam Young,Public Health,2026,Undergraduate,Out-of-State,10,TN,Active
212,S00212,Avery Wright,Healthcare Administration,2023,Undergraduate,Out-of-State,10,VA,Active
213,S00213,Wyatt Lee,Public Health,2024,Graduate,Out-of-State,20,VA,Active
214,S00214,Avery Wright,Pre-Med,2024,Undergraduate,Out-of-State,15,SC,Active
215,S00215,Aria Thomas,Biomedical Sciences,2026,Undergraduate,Out-of-State,20,TX,Active
216,S00216,James Hill,Biomedical Sciences,2026,Undergraduate,In-State,0,TX,Active
217,S00217,Aria Smith,Public Health,2026,Undergraduate,Out-of-State,10,SC,Active
218,S00218,Ella Nelson,Biomedical Sciences,2025,Undergraduate,In-State,50,SC,Active
219,S00219,Emma Baker,Pre-Med,2024,Undergraduate,In-State,25,VA,Active
220,S00220,Mia Miller,Nursing,2024,Undergraduate,Out-of-State,30,SC,Active
221,S00221,Grace Thompson,Biomedical Sciences,2023,Undergraduate,International,10,FL,Active
222,S00222,Chloe Taylor,Nursing,2026,Graduate,In-State,15,FL,Active
223,S00223,Scarlett Hill,Radiologic Sciences,2023,Undergraduate,In-State,30,AL,Active
224,S00224,Mateo King,Public Health,2024,Undergraduate,In-State,0,AL,Active
225,S00225,Benjamin Carter,Biomedical Sciences,2025,Undergraduate,International,10,NC,Leave of Absence
226,S00226,Michael Allen,Radiologic Sciences,2025,Undergraduate,Out-of-State,0,NC,Active
227,S00227,Leo Martinez,Pre-Med,2023,Undergraduate,Out-of-State,10,AL,Active
228,S00228,Henry Garcia,Radiologic Sciences,2023,Undergraduate,In-State,10,FL,Active
229,S00229,Layla Garcia,Pre-Med,2026,Graduate,In-State,0,TX,Active
230,S00230,Avery Jackson,Pre-Med,2024,Graduate,In-State,30,VA,Active
231,S00231,Lillian Wright,Healthcare Administration,2024,Undergraduate,International,0,AL,Active
232,S00232,Levi Johnson,Radiologic Sciences,2023,Undergraduate,Out-of-State,40,SC,Leave of Absence
233,S00233,Hannah Wilson,Pre-Med,2025,Graduate,Out-of-State,0,SC,Leave of Absence
234,S00234,Julian Smith,Radiologic Sciences,2026,Undergraduate,Out-of-State,0,TN,Active
235,S00235,Penelope Rodriguez,Radiologic Sciences,2026,Undergraduate,In-State,25,TX,Active
236,S00236,Lucas Campbell,Nursing,2023,Undergraduate,In-State,0,FL,Active
237,S00237,Leo Patel,Public Health,2026,Undergraduate,In-State,25,VA,Active
238,S00238,Nora Lee,Health Informatics,2023,Graduate,In-State,20,GA,Active
239,S00239,Hannah Walker,Radiologic Sciences,2024,Undergraduate,In-State,0,TX,Active
240,S00240,Hannah Allen,Radiologic Sciences,2026,Undergraduate,In-State,30,VA,Active
241,S00241,Ella Anderson,Biomedical Sciences,2023,Undergraduate,Out-of-State,50,FL,Active
242,S00242,Lucas Johnson,Nursing,2023,Graduate,International,0,SC,Active
243,S00243,Michael Young,Pre-Med,2024,Undergraduate,In-State,40,TX,Active
244,S00244,Penelope Martinez,Radiologic Sciences,2025,Undergraduate,In-State,0,SC,Active
245,S00245,Scarlett Martin,Nursing,2024,Undergraduate,Out-of-State,30,FL,Active
246,S00246,Daniel Baker,Public Health,2026,Undergraduate,In-State,15,TN,Active
247,S00247,Hannah Wright,Pre-Med,2024,Undergraduate,In-State,30,FL,Active
248,S00248,Chloe Hall,Radiologic Sciences,2024,Undergraduate,In-State,15,SC,Active
249,S00249,Sophia Young,Healthcare Administration,2025,Undergraduate,Out-of-State,10,FL,Active
250,S00250,Daniel Mitchell,Radiologic Sciences,2023,Undergraduate,In-State,50,SC,Active
251,S00251,Lucas Robinson,Public Health,2023,Undergraduate,In-State,0,AL,Active
252,S00252,Sebastian Thomas,Health Informatics,2024,Graduate,In-State,15,TN,Active
253,S00253,Hannah Clark,Public Health,2025,Undergraduate,Out-of-State,30,AL,Active
254,S00254,Leo Martinez,Pre-Med,2025,Undergraduate,Out-of-State,0,SC,Active
255,S00255,Liam Harris,Radiologic Sciences,2026,Undergraduate,In-State,10,VA,Active
256,S00256,Daniel Hill,Healthcare Administration,2024,Graduate,Out-of-State,20,TX,Active
257,S00257,Julian King,Pre-Med,2025,Undergraduate,In-State,40,AL,Active
258,S00258,Hannah Rodriguez,Radiologic Sciences,2023,Undergraduate,In-State,0,TN,Active
259,S00259,Mason Johnson,Biomedical Sciences,2024,Undergraduate,In-State,40,AL,Active
260,S00260,Emma Roberts,Biomedical Sciences,2026,Graduate,In-State,0,TN,Active
261,S00261,Liam Baker,Biomedical Sciences,2025,Graduate,In-State,0,TN,Active
262,S00262,Mia Brown,Radiologic Sciences,2024,Undergraduate,In-State,50,TX,Active
263,S00263,Ella Walker,Nursing,2025,Undergraduate,Out-of-State,50,SC,Active
264,S00264,Scarlett Smith,Biomedical Sciences,2023,Undergraduate,Out-of-State,25,TN,Active
265,S00265,Leo Rodriguez,Biomedical Sciences,2023,Undergraduate,In-State,30,TN,Active
266,S00266,Penelope Brown,Radiologic Sciences,2023,Undergraduate,In-State,50,AL,Active
267,S00267,Noah Johnson,Biomedical Sciences,2025,Graduate,International,0,NC,Active
268,S00268,Liam Thomas,Radiologic Sciences,2024,Undergraduate,In-State,15,NC,Leave of Absence
269,S00269,Evelyn Hill,Healthcare Administration,2026,Graduate,In-State,25,NC,Active
270,S00270,Mateo Clark,Nursing,2023,Undergraduate,In-State,0,VA,Leave of Absence
271,S00271,Avery Mitchell,Health Informatics,2025,Undergraduate,In-State,30,AL,Active
272,S00272,Jack Nelson,Health Informatics,2026,Undergraduate,International,25,GA,Leave of Absence
273,S00273,Aria White,Biomedical Sciences,2023,Undergraduate,In-State,0,TN,Active
274,S00274,Daniel Martinez,Public Health,2023,Undergraduate,In-State,15,AL,Active
275,S00275,Ella Brown,Pre-Med,2023,Undergraduate,Out-of-State,30,TN,Active
276,S00276,Liam Smith,Public Health,2023,Certificate,International,20,TN,Active
277,S00277,Aria Hall,Health Informatics,2023,Graduate,In-State,50,NC,Active
278,S00278,Amelia Miller,Public Health,2025,Undergraduate,Out-of-State,0,GA,Active
279,S00279,Zoey Martin,Health Informatics,2025,Graduate,In-State,20,TX,Active
280,S00280,Julian Mitchell,Radiologic Sciences,2024,Graduate,In-State,0,TX,Active
281,S00281,Michael Robinson,Healthcare Administration,2026,Undergraduate,Out-of-State,20,TN,Leave of Absence
282,S00282,Isabella Garcia,Public Health,2024,Graduate,In-State,0,TN,Active
283,S00283,Aria Scott,Radiologic Sciences,2024,Undergraduate,Out-of-State,15,TN,Active
284,S00284,James Hill,Pre-Med,2024,Graduate,In-State,30,SC,Active
285,S00285,Aria Johnson,Healthcare Administration,2026,Graduate,In-State,15,SC,Active
286,S00286,Charlotte Allen,Healthcare Administration,2026,Undergraduate,Out-of-State,50,AL,Leave of Absence
287,S00287,Michael Adams,Radiologic Sciences,2026,Graduate,In-State,20,GA,Active
288,S00288,Evelyn Clark,Pre-Med,2023,Certificate,Out-of-State,20,TN,Active
289,S00289,Ava Brown,Public Health,2024,Graduate,Out-of-State,40,SC,Active
290,S00290,Levi Walker,Health Informatics,2024,Undergraduate,In-State,30,GA,Active
291,S00291,Chloe Smith,Nursing,2024,Undergraduate,In-State,20,AL,Active
292,S00292,Wyatt Wright,Public Health,2026,Undergraduate,Out-of-State,30,VA,Active
293,S00293,Scarlett Patel,Healthcare Administration,2023,Undergraduate,In-State,0,NC,Active
294,S00294,Wyatt Taylor,Radiologic Sciences,2024,Undergraduate,Out-of-State,25,AL,Active
295,S00295,Michael Taylor,Pre-Med,2026,Undergraduate,In-State,50,SC,Active
296,S00296,Abigail Allen,Health Informatics,2023,Undergraduate,In-State,15,GA,Leave of Absence
297,S00297,Mia Adams,Pre-Med,2025,Undergraduate,In-State,30,GA,Active
298,S00298,Julian Baker,Biomedical Sciences,2025,Certificate,Out-of-State,50,TN,Leave of Absence
299,S00299,James Clark,Public Health,2026,Certificate,In-State,15,GA,Active
300,S00300,Grace Davis,Pre-Med,2025,Undergraduate,In-State,20,NC,Active
301,S00301,Daniel Hall,Radiologic Sciences,2024,Certificate,Out-of-State,25,NC,Active
302,S00302,Hannah Taylor,Radiologic Sciences,2024,Graduate,In-State,0,NC,Active
303,S00303,Nora Roberts,Nursing,2025,Undergraduate,Out-of-State,0,SC,Active
304,S00304,Lillian Green,Biomedical Sciences,2026,Undergraduate,Out-of-State,25,AL,Active
305,S00305,Amelia Smith,Radiologic Sciences,2023,Undergraduate,In-State,0,TX,Active
306,S00306,Hannah Thompson,Pre-Med,2026,Certificate,Out-of-State,40,GA,Leave of Absence
307,S00307,James Martin,Healthcare Administration,2025,Graduate,In-State,30,SC,Active
308,S00308,Mia White,Public Health,2023,Graduate,In-State,20,GA,Active
309,S00309,James White,Pre-Med,2025,Certificate,Out-of-State,0,NC,Active
310,S00310,Lucas Rodriguez,Radiologic Sciences,2025,Graduate,In-State,50,NC,Active
311,S00311,Aria Thompson,Radiologic Sciences,2025,Graduate,In-State,0,TN,Active
312,S00312,Ella Miller,Biomedical Sciences,2024,Undergraduate,In-State,20,SC,Active
